,date,ETH
498,2018-12-28 00:00:00,135.30000000
499,2018-12-29 00:00:00,132.89000000
500,2018-12-30 00:00:00,137.77000000
501,2018-12-31 00:00:00,131.45000000
502,2019-01-01 00:00:00,139.10000000
503,2019-01-02 00:00:00,152.01000000
504,2019-01-03 00:00:00,146.30000000
505,2019-01-04 00:00:00,151.97000000
506,2019-01-05 00:00:00,152.83000000
507,2019-01-06 00:00:00,153.86000000
508,2019-01-07 00:00:00,149.34000000
509,2019-01-08 00:00:00,147.60000000
510,2019-01-09 00:00:00,148.10000000
511,2019-01-10 00:00:00,124.95000000
512,2019-01-11 00:00:00,124.65000000
513,2019-01-12 00:00:00,123.35000000
514,2019-01-13 00:00:00,114.16000000
515,2019-01-14 00:00:00,126.95000000
516,2019-01-15 00:00:00,118.95000000
517,2019-01-16 00:00:00,121.48000000
518,2019-01-17 00:00:00,121.54000000
519,2019-01-18 00:00:00,119.17000000
520,2019-01-19 00:00:00,122.60000000
521,2019-01-20 00:00:00,117.47000000
522,2019-01-21 00:00:00,115.63000000
523,2019-01-22 00:00:00,117.81000000
524,2019-01-23 00:00:00,116.44000000
525,2019-01-24 00:00:00,116.39000000
526,2019-01-25 00:00:00,115.11000000
527,2019-01-26 00:00:00,115.34000000
528,2019-01-27 00:00:00,112.05000000
529,2019-01-28 00:00:00,105.50000000
530,2019-01-29 00:00:00,104.45000000
531,2019-01-30 00:00:00,108.29000000
532,2019-01-31 00:00:00,106.44000000
533,2019-02-01 00:00:00,106.73000000
534,2019-02-02 00:00:00,110.42000000
535,2019-02-03 00:00:00,107.36000000
536,2019-02-04 00:00:00,107.68000000
537,2019-02-05 00:00:00,107.27000000
538,2019-02-06 00:00:00,104.50000000
539,2019-02-07 00:00:00,104.48000000
540,2019-02-08 00:00:00,119.25000000
541,2019-02-09 00:00:00,119.19000000
542,2019-02-10 00:00:00,125.12000000
543,2019-02-11 00:00:00,120.89000000
544,2019-02-12 00:00:00,122.41000000
545,2019-02-13 00:00:00,121.86000000
546,2019-02-14 00:00:00,120.42000000
547,2019-02-15 00:00:00,121.67000000
548,2019-02-16 00:00:00,122.67000000
549,2019-02-17 00:00:00,133.75000000
550,2019-02-18 00:00:00,145.69000000
551,2019-02-19 00:00:00,143.44000000
552,2019-02-20 00:00:00,148.44000000
553,2019-02-21 00:00:00,145.69000000
554,2019-02-22 00:00:00,147.36000000
555,2019-02-23 00:00:00,157.79000000
556,2019-02-24 00:00:00,132.10000000
557,2019-02-25 00:00:00,137.87000000
558,2019-02-26 00:00:00,136.22000000
559,2019-02-27 00:00:00,135.02000000
560,2019-02-28 00:00:00,135.34000000
561,2019-03-01 00:00:00,135.32000000
562,2019-03-02 00:00:00,132.56000000
563,2019-03-03 00:00:00,130.60000000
564,2019-03-04 00:00:00,125.65000000
565,2019-03-05 00:00:00,136.72000000
566,2019-03-06 00:00:00,137.40000000
567,2019-03-07 00:00:00,136.81000000
568,2019-03-08 00:00:00,133.52000000
569,2019-03-09 00:00:00,137.27000000
570,2019-03-10 00:00:00,135.37000000
571,2019-03-11 00:00:00,132.67000000
572,2019-03-12 00:00:00,133.57000000
573,2019-03-13 00:00:00,131.65000000
574,2019-03-14 00:00:00,132.20000000
575,2019-03-15 00:00:00,136.56000000
576,2019-03-16 00:00:00,140.92000000
577,2019-03-17 00:00:00,138.67000000
578,2019-03-18 00:00:00,137.59000000
579,2019-03-19 00:00:00,138.55000000
580,2019-03-20 00:00:00,139.01000000
581,2019-03-21 00:00:00,134.85000000
582,2019-03-22 00:00:00,135.98000000
583,2019-03-23 00:00:00,137.28000000
584,2019-03-24 00:00:00,136.09000000
585,2019-03-25 00:00:00,133.98000000
586,2019-03-26 00:00:00,134.18000000
587,2019-03-27 00:00:00,139.45000000
588,2019-03-28 00:00:00,137.86000000
589,2019-03-29 00:00:00,143.25000000
590,2019-03-30 00:00:00,142.46000000
591,2019-03-31 00:00:00,141.38000000
592,2019-04-01 00:00:00,141.24000000
593,2019-04-02 00:00:00,163.31000000
594,2019-04-03 00:00:00,159.96000000
595,2019-04-04 00:00:00,157.36000000
596,2019-04-05 00:00:00,164.77000000
597,2019-04-06 00:00:00,165.50000000
598,2019-04-07 00:00:00,174.21000000
599,2019-04-08 00:00:00,178.72000000
600,2019-04-09 00:00:00,174.60000000
601,2019-04-10 00:00:00,177.12000000
602,2019-04-11 00:00:00,164.07000000
603,2019-04-12 00:00:00,163.19000000
604,2019-04-13 00:00:00,162.99000000
605,2019-04-14 00:00:00,167.23000000
606,2019-04-15 00:00:00,159.95000000
607,2019-04-16 00:00:00,165.37000000
608,2019-04-17 00:00:00,165.75000000
609,2019-04-18 00:00:00,173.33000000
610,2019-04-19 00:00:00,172.64000000
611,2019-04-20 00:00:00,172.88000000
612,2019-04-21 00:00:00,168.59000000
613,2019-04-22 00:00:00,170.52000000
614,2019-04-23 00:00:00,169.16000000
615,2019-04-24 00:00:00,164.78000000
616,2019-04-25 00:00:00,154.72000000
617,2019-04-26 00:00:00,157.95000000
618,2019-04-27 00:00:00,159.31000000
619,2019-04-28 00:00:00,157.85000000
620,2019-04-29 00:00:00,155.11000000
621,2019-04-30 00:00:00,161.83000000
622,2019-05-01 00:00:00,160.19000000
623,2019-05-02 00:00:00,161.81000000
624,2019-05-03 00:00:00,168.06000000
625,2019-05-04 00:00:00,163.70000000
626,2019-05-05 00:00:00,163.05000000
627,2019-05-06 00:00:00,173.00000000
628,2019-05-07 00:00:00,169.18000000
629,2019-05-08 00:00:00,170.85000000
630,2019-05-09 00:00:00,170.90000000
631,2019-05-10 00:00:00,172.91000000
632,2019-05-11 00:00:00,190.20000000
633,2019-05-12 00:00:00,188.11000000
634,2019-05-13 00:00:00,195.84000000
635,2019-05-14 00:00:00,216.40000000
636,2019-05-15 00:00:00,248.10000000
637,2019-05-16 00:00:00,264.25000000
638,2019-05-17 00:00:00,244.30000000
639,2019-05-18 00:00:00,233.60000000
640,2019-05-19 00:00:00,259.51000000
641,2019-05-20 00:00:00,250.37000000
642,2019-05-21 00:00:00,253.43000000
643,2019-05-22 00:00:00,243.64000000
644,2019-05-23 00:00:00,244.56000000
645,2019-05-24 00:00:00,248.87000000
646,2019-05-25 00:00:00,250.22000000
647,2019-05-26 00:00:00,264.45000000
648,2019-05-27 00:00:00,270.53000000
649,2019-05-28 00:00:00,271.03000000
650,2019-05-29 00:00:00,268.83000000
651,2019-05-30 00:00:00,254.56000000
652,2019-05-31 00:00:00,267.90000000
653,2019-06-01 00:00:00,264.33000000
654,2019-06-02 00:00:00,268.88000000
655,2019-06-03 00:00:00,249.91000000
656,2019-06-04 00:00:00,241.39000000
657,2019-06-05 00:00:00,245.63000000
658,2019-06-06 00:00:00,248.76000000
659,2019-06-07 00:00:00,248.77000000
660,2019-06-08 00:00:00,243.25000000
661,2019-06-09 00:00:00,230.98000000
662,2019-06-10 00:00:00,246.51000000
663,2019-06-11 00:00:00,244.29000000
