,date,BTC
769,2019-09-25 00:00:00,8430.05000000
770,2019-09-26 00:00:00,8063.73000000
771,2019-09-27 00:00:00,8177.91000000
772,2019-09-28 00:00:00,8198.81000000
773,2019-09-29 00:00:00,8043.82000000
774,2019-09-30 00:00:00,8289.34000000
775,2019-10-01 00:00:00,8292.44000000
776,2019-10-02 00:00:00,8359.94000000
777,2019-10-03 00:00:00,8223.96000000
778,2019-10-04 00:00:00,8137.13000000
779,2019-10-05 00:00:00,8126.19000000
780,2019-10-06 00:00:00,7854.25000000
781,2019-10-07 00:00:00,8190.09000000
782,2019-10-08 00:00:00,8168.39000000
783,2019-10-09 00:00:00,8560.74000000
784,2019-10-10 00:00:00,8558.03000000
785,2019-10-11 00:00:00,8258.50000000
786,2019-10-12 00:00:00,8300.09000000
787,2019-10-13 00:00:00,8275.01000000
788,2019-10-14 00:00:00,8348.20000000
789,2019-10-15 00:00:00,8159.29000000
790,2019-10-16 00:00:00,7991.74000000
791,2019-10-17 00:00:00,8070.58000000
792,2019-10-18 00:00:00,7947.01000000
793,2019-10-19 00:00:00,7948.01000000
794,2019-10-20 00:00:00,8223.35000000
795,2019-10-21 00:00:00,8197.27000000
796,2019-10-22 00:00:00,8020.00000000
797,2019-10-23 00:00:00,7466.62000000
798,2019-10-24 00:00:00,7412.41000000
799,2019-10-25 00:00:00,8655.02000000
800,2019-10-26 00:00:00,9230.00000000
801,2019-10-27 00:00:00,9529.93000000
802,2019-10-28 00:00:00,9205.14000000
803,2019-10-29 00:00:00,9407.62000000
804,2019-10-30 00:00:00,9154.72000000
805,2019-10-31 00:00:00,9140.85000000
806,2019-11-01 00:00:00,9231.61000000
807,2019-11-02 00:00:00,9289.52000000
808,2019-11-03 00:00:00,9194.71000000
809,2019-11-04 00:00:00,9393.35000000
810,2019-11-05 00:00:00,9308.66000000
811,2019-11-06 00:00:00,9339.05000000
812,2019-11-07 00:00:00,9216.20000000
813,2019-11-08 00:00:00,8773.73000000
814,2019-11-09 00:00:00,8809.41000000
815,2019-11-10 00:00:00,9039.47000000
816,2019-11-11 00:00:00,8733.27000000
817,2019-11-12 00:00:00,8821.94000000
818,2019-11-13 00:00:00,8777.12000000
819,2019-11-14 00:00:00,8646.68000000
820,2019-11-15 00:00:00,8471.73000000
821,2019-11-16 00:00:00,8491.02000000
822,2019-11-17 00:00:00,8502.40000000
823,2019-11-18 00:00:00,8187.17000000
824,2019-11-19 00:00:00,8133.64000000
825,2019-11-20 00:00:00,8098.01000000
826,2019-11-21 00:00:00,7627.74000000
827,2019-11-22 00:00:00,7268.23000000
828,2019-11-23 00:00:00,7311.57000000
829,2019-11-24 00:00:00,6903.28000000
830,2019-11-25 00:00:00,7109.57000000
831,2019-11-26 00:00:00,7156.14000000
832,2019-11-27 00:00:00,7508.52000000
833,2019-11-28 00:00:00,7419.49000000
834,2019-11-29 00:00:00,7739.68000000
835,2019-11-30 00:00:00,7541.89000000
836,2019-12-01 00:00:00,7390.89000000
837,2019-12-02 00:00:00,7294.28000000
838,2019-12-03 00:00:00,7292.71000000
839,2019-12-04 00:00:00,7194.32000000
840,2019-12-05 00:00:00,7389.00000000
841,2019-12-06 00:00:00,7527.47000000
842,2019-12-07 00:00:00,7488.21000000
843,2019-12-08 00:00:00,7510.11000000
844,2019-12-09 00:00:00,7338.64000000
845,2019-12-10 00:00:00,7224.13000000
846,2019-12-11 00:00:00,7210.00000000
847,2019-12-12 00:00:00,7198.08000000
848,2019-12-13 00:00:00,7258.48000000
849,2019-12-14 00:00:00,7064.05000000
850,2019-12-15 00:00:00,7118.59000000
851,2019-12-16 00:00:00,6891.72000000
852,2019-12-17 00:00:00,6623.82000000
853,2019-12-18 00:00:00,7277.83000000
854,2019-12-19 00:00:00,7150.30000000
855,2019-12-20 00:00:00,7187.83000000
856,2019-12-21 00:00:00,7132.75000000
857,2019-12-22 00:00:00,7501.44000000
858,2019-12-23 00:00:00,7317.09000000
859,2019-12-24 00:00:00,7255.77000000
860,2019-12-25 00:00:00,7204.63000000
861,2019-12-26 00:00:00,7202.00000000
862,2019-12-27 00:00:00,7254.74000000
863,2019-12-28 00:00:00,7316.14000000
864,2019-12-29 00:00:00,7388.24000000
865,2019-12-30 00:00:00,7246.00000000
866,2019-12-31 00:00:00,7195.23000000
867,2020-01-01 00:00:00,7200.85000000
868,2020-01-02 00:00:00,6965.71000000
869,2020-01-03 00:00:00,7344.96000000
870,2020-01-04 00:00:00,7354.11000000
871,2020-01-05 00:00:00,7358.75000000
872,2020-01-06 00:00:00,7758.00000000
873,2020-01-07 00:00:00,8145.28000000
874,2020-01-08 00:00:00,8055.98000000
875,2020-01-09 00:00:00,7817.76000000
876,2020-01-10 00:00:00,8197.02000000
877,2020-01-11 00:00:00,8020.01000000
878,2020-01-12 00:00:00,8184.98000000
879,2020-01-13 00:00:00,8110.34000000
880,2020-01-14 00:00:00,8810.01000000
881,2020-01-15 00:00:00,8821.41000000
882,2020-01-16 00:00:00,8720.01000000
883,2020-01-17 00:00:00,8913.28000000
884,2020-01-18 00:00:00,8915.96000000
885,2020-01-19 00:00:00,8701.70000000
886,2020-01-20 00:00:00,8642.35000000
887,2020-01-21 00:00:00,8736.03000000
888,2020-01-22 00:00:00,8682.36000000
889,2020-01-23 00:00:00,8404.52000000
890,2020-01-24 00:00:00,8439.00000000
891,2020-01-25 00:00:00,8340.58000000
892,2020-01-26 00:00:00,8615.00000000
893,2020-01-27 00:00:00,8907.57000000
894,2020-01-28 00:00:00,9374.21000000
895,2020-01-29 00:00:00,9301.53000000
896,2020-01-30 00:00:00,9513.21000000
897,2020-01-31 00:00:00,9352.89000000
898,2020-02-01 00:00:00,9384.61000000
899,2020-02-02 00:00:00,9331.51000000
900,2020-02-03 00:00:00,9292.24000000
901,2020-02-04 00:00:00,9197.02000000
902,2020-02-05 00:00:00,9612.04000000
903,2020-02-06 00:00:00,9772.00000000
904,2020-02-07 00:00:00,9813.73000000
905,2020-02-08 00:00:00,9895.05000000
906,2020-02-09 00:00:00,10151.75000000
907,2020-02-10 00:00:00,9851.83000000
908,2020-02-11 00:00:00,10223.08000000
909,2020-02-12 00:00:00,10326.46000000
910,2020-02-13 00:00:00,10229.63000000
911,2020-02-14 00:00:00,10344.36000000
912,2020-02-15 00:00:00,9904.72000000
913,2020-02-16 00:00:00,9917.27000000
914,2020-02-17 00:00:00,9706.00000000
915,2020-02-18 00:00:00,10164.71000000
916,2020-02-19 00:00:00,9593.79000000
917,2020-02-20 00:00:00,9596.42000000
918,2020-02-21 00:00:00,9677.05000000
919,2020-02-22 00:00:00,9650.86000000
920,2020-02-23 00:00:00,9936.40000000
921,2020-02-24 00:00:00,9656.13000000
922,2020-02-25 00:00:00,9315.84000000
923,2020-02-26 00:00:00,8785.25000000
924,2020-02-27 00:00:00,8823.21000000
925,2020-02-28 00:00:00,8692.91000000
926,2020-02-29 00:00:00,8523.61000000
927,2020-03-01 00:00:00,8531.88000000
928,2020-03-02 00:00:00,8915.24000000
929,2020-03-03 00:00:00,8760.07000000
930,2020-03-04 00:00:00,8750.87000000
931,2020-03-05 00:00:00,9054.68000000
932,2020-03-06 00:00:00,9131.88000000
933,2020-03-07 00:00:00,8886.66000000
934,2020-03-08 00:00:00,8033.31000000
935,2020-03-09 00:00:00,7929.87000000
936,2020-03-10 00:00:00,7894.56000000
937,2020-03-11 00:00:00,7934.52000000
938,2020-03-12 00:00:00,4800.00000000
939,2020-03-13 00:00:00,5578.60000000
940,2020-03-14 00:00:00,5172.06000000
941,2020-03-15 00:00:00,5361.30000000
942,2020-03-16 00:00:00,5028.97000000
943,2020-03-17 00:00:00,5312.64000000
944,2020-03-18 00:00:00,5393.04000000
945,2020-03-19 00:00:00,6162.37000000
946,2020-03-20 00:00:00,6208.36000000
947,2020-03-21 00:00:00,6186.98000000
948,2020-03-22 00:00:00,5816.19000000
949,2020-03-23 00:00:00,6467.31000000
950,2020-03-24 00:00:00,6744.72000000
951,2020-03-25 00:00:00,6677.43000000
952,2020-03-26 00:00:00,6737.36000000
953,2020-03-27 00:00:00,6359.11000000
954,2020-03-28 00:00:00,6236.65000000
955,2020-03-29 00:00:00,5881.42000000
956,2020-03-30 00:00:00,6394.38000000
957,2020-03-31 00:00:00,6410.44000000
958,2020-04-01 00:00:00,6642.92000000
959,2020-04-02 00:00:00,6794.09000000
960,2020-04-03 00:00:00,6734.10000000
961,2020-04-04 00:00:00,6856.99000000
962,2020-04-05 00:00:00,6772.78000000
963,2020-04-06 00:00:00,7329.90000000
964,2020-04-07 00:00:00,7197.32000000
965,2020-04-08 00:00:00,7361.28000000
966,2020-04-09 00:00:00,7283.54000000
967,2020-04-10 00:00:00,6858.92000000
968,2020-04-11 00:00:00,6876.83000000
969,2020-04-12 00:00:00,6903.79000000
970,2020-04-13 00:00:00,6837.91000000
971,2020-04-14 00:00:00,6868.70000000
972,2020-04-15 00:00:00,6621.24000000
973,2020-04-16 00:00:00,7101.94000000
974,2020-04-17 00:00:00,7027.55000000
975,2020-04-18 00:00:00,7248.60000000
976,2020-04-19 00:00:00,7120.74000000
977,2020-04-20 00:00:00,6826.83000000
978,2020-04-21 00:00:00,6841.37000000
979,2020-04-22 00:00:00,7125.14000000
980,2020-04-23 00:00:00,7482.39000000
981,2020-04-24 00:00:00,7505.00000000
982,2020-04-25 00:00:00,7538.67000000
983,2020-04-26 00:00:00,7693.10000000
984,2020-04-27 00:00:00,7774.62000000
985,2020-04-28 00:00:00,7738.98000000
986,2020-04-29 00:00:00,8778.57000000
987,2020-04-30 00:00:00,8620.00000000
988,2020-05-01 00:00:00,8826.96000000
989,2020-05-02 00:00:00,8972.05000000
990,2020-05-03 00:00:00,8894.16000000
991,2020-05-04 00:00:00,8871.96000000
992,2020-05-05 00:00:00,9021.83000000
993,2020-05-06 00:00:00,9142.92000000
994,2020-05-07 00:00:00,9986.40000000
995,2020-05-08 00:00:00,9800.01000000
996,2020-05-09 00:00:00,9539.40000000
997,2020-05-10 00:00:00,8722.77000000
998,2020-05-11 00:00:00,8561.52000000
999,2020-05-12 00:00:00,8810.79000000
1000,2020-05-13 00:00:00,9309.37000000
1001,2020-05-14 00:00:00,9791.98000000
1002,2020-05-15 00:00:00,9316.42000000
1003,2020-05-16 00:00:00,9381.27000000
1004,2020-05-17 00:00:00,9680.04000000
1005,2020-05-18 00:00:00,9733.93000000
1006,2020-05-19 00:00:00,9775.53000000
1007,2020-05-20 00:00:00,9511.43000000
1008,2020-05-21 00:00:00,9068.65000000
1009,2020-05-22 00:00:00,9170.00000000
1010,2020-05-23 00:00:00,9179.15000000
1011,2020-05-24 00:00:00,8720.34000000
1012,2020-05-25 00:00:00,8900.35000000
1013,2020-05-26 00:00:00,8841.18000000
1014,2020-05-27 00:00:00,9204.07000000
1015,2020-05-28 00:00:00,9575.89000000
1016,2020-05-29 00:00:00,9427.07000000
1017,2020-05-30 00:00:00,9697.72000000
1018,2020-05-31 00:00:00,9448.27000000
1019,2020-06-01 00:00:00,10200.77000000
1020,2020-06-02 00:00:00,9518.04000000
1021,2020-06-03 00:00:00,9666.24000000
1022,2020-06-04 00:00:00,9789.06000000
1023,2020-06-05 00:00:00,9621.16000000
1024,2020-06-06 00:00:00,9666.30000000
1025,2020-06-07 00:00:00,9746.99000000
1026,2020-06-08 00:00:00,9782.01000000
1027,2020-06-09 00:00:00,9772.43000000
1028,2020-06-10 00:00:00,9885.00000000
1029,2020-06-11 00:00:00,9280.40000000
1030,2020-06-12 00:00:00,9465.13000000
1031,2020-06-13 00:00:00,9473.34000000
1032,2020-06-14 00:00:00,9342.10000000
1033,2020-06-15 00:00:00,9426.02000000
1034,2020-06-16 00:00:00,9525.59000000
1035,2020-06-17 00:00:00,9465.14000000
1036,2020-06-18 00:00:00,9386.32000000
1037,2020-06-19 00:00:00,9310.23000000
1038,2020-06-20 00:00:00,9358.95000000
1039,2020-06-21 00:00:00,9294.69000000
1040,2020-06-22 00:00:00,9685.69000000
1041,2020-06-23 00:00:00,9624.89000000
1042,2020-06-24 00:00:00,9296.49000000
1043,2020-06-25 00:00:00,9249.49000000
1044,2020-06-26 00:00:00,9162.21000000
1045,2020-06-27 00:00:00,9012.00000000
1046,2020-06-28 00:00:00,9116.35000000
1047,2020-06-29 00:00:00,9192.56000000
1048,2020-06-30 00:00:00,9138.55000000
1049,2020-07-01 00:00:00,9232.00000000
1050,2020-07-02 00:00:00,9086.54000000
1051,2020-07-03 00:00:00,9058.26000000
1052,2020-07-04 00:00:00,9135.46000000
1053,2020-07-05 00:00:00,9069.41000000
1054,2020-07-06 00:00:00,9344.20000000
1055,2020-07-07 00:00:00,9257.39000000
1056,2020-07-08 00:00:00,9436.06000000
1057,2020-07-09 00:00:00,9232.43000000
1058,2020-07-10 00:00:00,9288.34000000
1059,2020-07-11 00:00:00,9234.03000000
1060,2020-07-12 00:00:00,9302.75000000
1061,2020-07-13 00:00:00,9242.62000000
1062,2020-07-14 00:00:00,9255.85000000
1063,2020-07-15 00:00:00,9197.60000000
1064,2020-07-16 00:00:00,9133.72000000
1065,2020-07-17 00:00:00,9154.32000000
1066,2020-07-18 00:00:00,9170.28000000
1067,2020-07-19 00:00:00,9208.99000000
1068,2020-07-20 00:00:00,9160.78000000
1069,2020-07-21 00:00:00,9390.00000000
1070,2020-07-22 00:00:00,9518.16000000
1071,2020-07-23 00:00:00,9603.27000000
1072,2020-07-24 00:00:00,9537.80000000
1073,2020-07-25 00:00:00,9700.42000000
1074,2020-07-26 00:00:00,9931.54000000
1075,2020-07-27 00:00:00,11029.96000000
1076,2020-07-28 00:00:00,10906.27000000
1077,2020-07-29 00:00:00,11100.53000000
1078,2020-07-30 00:00:00,11099.61000000
1079,2020-07-31 00:00:00,11335.46000000
1080,2020-08-01 00:00:00,11801.17000000
1081,2020-08-02 00:00:00,11071.35000000
1082,2020-08-03 00:00:00,11219.81000000
1083,2020-08-04 00:00:00,11191.97000000
1084,2020-08-05 00:00:00,11744.91000000
1085,2020-08-06 00:00:00,11762.46000000
1086,2020-08-07 00:00:00,11594.23000000
1087,2020-08-08 00:00:00,11761.41000000
1088,2020-08-09 00:00:00,11681.68000000
1089,2020-08-10 00:00:00,11892.92000000
1090,2020-08-11 00:00:00,11392.08000000
1091,2020-08-12 00:00:00,11564.33000000
1092,2020-08-13 00:00:00,11780.00000000
1093,2020-08-14 00:00:00,11760.54000000
1094,2020-08-15 00:00:00,11852.40000000
1095,2020-08-16 00:00:00,11911.00000000
1096,2020-08-17 00:00:00,12281.13000000
1097,2020-08-18 00:00:00,11945.01000000
1098,2020-08-19 00:00:00,11754.59000000
1099,2020-08-20 00:00:00,11853.55000000
1100,2020-08-21 00:00:00,11531.34000000
1101,2020-08-22 00:00:00,11662.96000000
1102,2020-08-23 00:00:00,11648.13000000
1103,2020-08-24 00:00:00,11748.20000000
1104,2020-08-25 00:00:00,11318.42000000
1105,2020-08-26 00:00:00,11461.43000000
1106,2020-08-27 00:00:00,11330.38000000
1107,2020-08-28 00:00:00,11526.91000000
1108,2020-08-29 00:00:00,11465.84000000
1109,2020-08-30 00:00:00,11711.16000000
1110,2020-08-31 00:00:00,11649.51000000
1111,2020-09-01 00:00:00,11921.97000000
1112,2020-09-02 00:00:00,11388.54000000
1113,2020-09-03 00:00:00,10140.85000000
1114,2020-09-04 00:00:00,10446.25000000
1115,2020-09-05 00:00:00,10166.69000000
1116,2020-09-06 00:00:00,10256.20000000
1117,2020-09-07 00:00:00,10373.44000000
1118,2020-09-08 00:00:00,10126.65000000
1119,2020-09-09 00:00:00,10219.20000000
1120,2020-09-10 00:00:00,10336.87000000
1121,2020-09-11 00:00:00,10387.89000000
1122,2020-09-12 00:00:00,10440.92000000
1123,2020-09-13 00:00:00,10332.83000000
1124,2020-09-14 00:00:00,10671.77000000
1125,2020-09-15 00:00:00,10785.31000000
1126,2020-09-16 00:00:00,10954.01000000
1127,2020-09-17 00:00:00,10939.99000000
1128,2020-09-18 00:00:00,10933.39000000
1129,2020-09-19 00:00:00,11080.65000000
1130,2020-09-20 00:00:00,10920.28000000
1131,2020-09-21 00:00:00,10417.22000000
1132,2020-09-22 00:00:00,10529.61000000
1133,2020-09-23 00:00:00,10241.46000000
1134,2020-09-24 00:00:00,10736.32000000
1135,2020-09-25 00:00:00,10686.67000000
1136,2020-09-26 00:00:00,10728.60000000
1137,2020-09-27 00:00:00,10774.25000000
1138,2020-09-28 00:00:00,10696.12000000
1139,2020-09-29 00:00:00,10840.48000000
1140,2020-09-30 00:00:00,10776.59000000
1141,2020-10-01 00:00:00,10619.13000000
1142,2020-10-02 00:00:00,10570.40000000
1143,2020-10-03 00:00:00,10542.06000000
1144,2020-10-04 00:00:00,10666.63000000
1145,2020-10-05 00:00:00,10792.21000000
1146,2020-10-06 00:00:00,10599.66000000
1147,2020-10-07 00:00:00,10666.39000000
1148,2020-10-08 00:00:00,10925.57000000
1149,2020-10-09 00:00:00,11050.64000000
1150,2020-10-10 00:00:00,11293.22000000
1151,2020-10-11 00:00:00,11369.02000000
1152,2020-10-12 00:00:00,11528.25000000
1153,2020-10-13 00:00:00,11420.56000000
1154,2020-10-14 00:00:00,11417.89000000
1155,2020-10-15 00:00:00,11505.12000000
1156,2020-10-16 00:00:00,11319.32000000
1157,2020-10-17 00:00:00,11360.20000000
1158,2020-10-18 00:00:00,11503.14000000
1159,2020-10-19 00:00:00,11751.47000000
1160,2020-10-20 00:00:00,11909.99000000
1161,2020-10-21 00:00:00,12780.96000000
1162,2020-10-22 00:00:00,12968.52000000
1163,2020-10-23 00:00:00,12923.07000000
1164,2020-10-24 00:00:00,13111.73000000
1165,2020-10-25 00:00:00,13028.83000000
